Request ID,Department,Request Type,Priority,Status,Ward,Date Opened,Date Closed,Channel,Citizen Satisfaction,Resolution Days,Target Days,Resolved Within Target,Opened Month,Opened Year,Opened Quarter,Is Closed
SR-2025-00073,Water Services,Sewer Backup,High,Closed,Ward 3,2025-10-04,2025-10-05,Phone,5.0,1.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00074,Transportation Services,Streetlight Repair,High,Closed,Ward 1,2025-01-16,2025-01-18,In Person,3.0,2.0,7,Yes,2025-01,2025,1,Yes
SR-2025-00075,Parks and Recreation,Park Equipment Damage,Low,Closed,Ward 3,2025-10-16,2025-10-22,Mobile App,4.0,6.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00076,Parks and Recreation,Tree Maintenance,High,Closed,Ward 3,2025-06-09,2025-06-10,In Person,4.0,1.0,7,Yes,2025-06,2025,2,Yes
SR-2025-00077,Transportation Services,Traffic Concern,Medium,Closed,Ward 3,2025-02-08,2025-02-13,In Person,2.0,5.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00078,Public Works,Pothole Repair,Medium,Closed,Ward 3,2025-07-09,2025-07-12,Web,4.0,3.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00079,Water Services,Water Quality Concern,Low,In Progress,Ward 4,2025-11-22,,Phone,,,14,Pending,2025-11,2025,4,No
SR-2025-00080,Water Services,Low Water Pressure,High,In Progress,Ward 5,2025-05-19,,In Person,,,7,Pending,2025-05,2025,2,No
SR-2025-00081,Water Services,Water Quality Concern,Medium,Closed,Ward 1,2025-05-18,2025-05-25,Mobile App,5.0,7.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00082,Water Services,Low Water Pressure,High,Closed,Ward 4,2025-12-09,2025-12-13,Mobile App,4.0,4.0,7,Yes,2025-12,2025,4,Yes
SR-2025-00083,Parks and Recreation,Trail Maintenance,Low,Open,Ward 3,2025-06-24,,In Person,,,14,Pending,2025-06,2025,2,No
SR-2025-00084,Transportation Services,Road Sign Damage,Medium,Closed,Ward 4,2025-04-08,2025-04-11,Email,3.0,3.0,10,Yes,2025-04,2025,2,Yes
SR-2025-00085,By-law Enforcement,Property Standards,Medium,Closed,Ward 1,2025-09-09,2025-09-18,Mobile App,5.0,9.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00086,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 5,2025-10-25,2025-11-01,Mobile App,4.0,7.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00087,Water Services,Sewer Backup,Medium,Closed,Ward 2,2025-06-06,2025-06-12,Mobile App,3.0,6.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00088,Public Works,Road Damage,Low,Closed,Ward 5,2025-05-22,2025-06-05,In Person,4.0,14.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00089,Waste Management,Missed Garbage Pickup,High,Closed,Ward 5,2025-07-04,2025-07-06,Phone,4.0,2.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00090,Waste Management,Missed Garbage Pickup,Critical,Closed,Ward 4,2025-12-24,2025-12-25,Web,4.0,1.0,3,Yes,2025-12,2025,4,Yes
SR-2025-00091,Public Works,Sidewalk Damage,Medium,Closed,Ward 4,2025-04-05,2025-04-07,Web,3.0,2.0,10,Yes,2025-04,2025,2,Yes
SR-2025-00092,Public Works,Snow Removal,Medium,Closed,Ward 5,2025-12-18,2025-12-20,Mobile App,3.0,2.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00093,Public Works,Road Damage,Low,Open,Ward 5,2025-11-07,,In Person,,,14,Pending,2025-11,2025,4,No
SR-2025-00094,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 5,2025-10-29,2025-11-06,Web,4.0,8.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00095,By-law Enforcement,Noise Complaint,Critical,Closed,Ward 2,2025-04-19,2025-04-21,Phone,5.0,2.0,3,Yes,2025-04,2025,2,Yes
SR-2025-00096,Parks and Recreation,Tree Maintenance,Low,Closed,Ward 1,2025-12-19,2025-12-31,Phone,4.0,12.0,14,Yes,2025-12,2025,4,Yes
SR-2025-00097,Waste Management,Illegal Dumping,High,Closed,Ward 5,2025-12-18,2025-12-20,Phone,5.0,2.0,7,Yes,2025-12,2025,4,Yes
SR-2025-00098,Water Services,Water Leak,Medium,Closed,Ward 2,2025-05-17,2025-05-21,Mobile App,2.0,4.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00099,By-law Enforcement,Parking Complaint,Medium,Closed,Ward 5,2025-06-05,2025-06-13,In Person,5.0,8.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00100,Water Services,Water Quality Concern,Low,Closed,Ward 3,2025-08-10,2025-08-24,Web,4.0,14.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00101,Public Works,Road Damage,Critical,Open,Ward 5,2025-10-22,,Web,,,3,Pending,2025-10,2025,4,No
SR-2025-00102,Transportation Services,Road Sign Damage,Medium,Open,Ward 4,2025-03-31,,In Person,,,10,Pending,2025-03,2025,1,No
SR-2025-00103,Transportation Services,Traffic Concern,High,Closed,Ward 4,2025-10-27,2025-10-31,Web,4.0,4.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00104,Water Services,Sewer Backup,Medium,Closed,Ward 4,2025-02-23,2025-02-27,Mobile App,4.0,4.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00105,Transportation Services,Traffic Concern,High,Closed,Ward 3,2025-08-21,2025-08-22,Web,4.0,1.0,7,Yes,2025-08,2025,3,Yes
SR-2025-00106,Water Services,Water Leak,Medium,Closed,Ward 3,2025-07-31,2025-08-02,In Person,3.0,2.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00107,Water Services,Water Quality Concern,High,Closed,Ward 4,2025-10-09,2025-10-11,Email,5.0,2.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00108,Public Works,Pothole Repair,Critical,Closed,Ward 1,2025-05-03,2025-05-04,In Person,4.0,1.0,3,Yes,2025-05,2025,2,Yes
SR-2025-00109,Water Services,Water Leak,Low,Open,Ward 4,2025-02-28,,Web,,,14,Pending,2025-02,2025,1,No
SR-2025-00110,Transportation Services,Traffic Signal Issue,Medium,Closed,Ward 4,2025-09-18,2025-09-24,Email,4.0,6.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00111,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 2,2025-11-03,2025-11-13,Web,5.0,10.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00112,Waste Management,Green Bin Issue,Medium,Open,Ward 1,2025-05-17,,Mobile App,,,10,Pending,2025-05,2025,2,No
SR-2025-00113,Transportation Services,Road Sign Damage,High,Closed,Ward 4,2025-12-04,2025-12-08,In Person,5.0,4.0,7,Yes,2025-12,2025,4,Yes
SR-2025-00114,Water Services,Sewer Backup,Medium,Open,Ward 4,2025-07-13,,Mobile App,,,10,Pending,2025-07,2025,3,No
SR-2025-00115,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 4,2025-07-30,2025-08-01,Email,4.0,2.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00116,Water Services,Low Water Pressure,Medium,Closed,Ward 4,2025-09-15,2025-09-22,Web,5.0,7.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00117,By-law Enforcement,Animal Complaint,Low,Closed,Ward 3,2025-12-02,2025-12-07,Mobile App,2.0,5.0,14,Yes,2025-12,2025,4,Yes
SR-2025-00118,By-law Enforcement,Animal Complaint,Medium,Open,Ward 5,2025-12-12,,Email,,,10,Pending,2025-12,2025,4,No
SR-2025-00119,Waste Management,Green Bin Issue,High,Closed,Ward 3,2025-02-05,2025-02-07,Phone,4.0,2.0,7,Yes,2025-02,2025,1,Yes
SR-2025-00120,Transportation Services,Streetlight Repair,Medium,Closed,Ward 3,2025-11-21,2025-11-24,Web,4.0,3.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00121,Public Works,Sidewalk Damage,High,Closed,Ward 5,2025-07-11,2025-07-15,Email,3.0,4.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00122,By-law Enforcement,Property Standards,Low,Closed,Ward 4,2025-07-15,2025-07-27,In Person,5.0,12.0,14,Yes,2025-07,2025,3,Yes
SR-2025-00123,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 4,2025-05-11,2025-05-13,Mobile App,5.0,2.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00124,Transportation Services,Traffic Signal Issue,Low,In Progress,Ward 3,2025-10-28,,Email,,,14,Pending,2025-10,2025,4,No
SR-2025-00125,Transportation Services,Road Sign Damage,Medium,Closed,Ward 4,2025-07-16,2025-07-25,In Person,2.0,9.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00126,Waste Management,Illegal Dumping,Critical,Closed,Ward 5,2025-12-04,2025-12-07,Web,3.0,3.0,3,Yes,2025-12,2025,4,Yes
SR-2025-00127,By-law Enforcement,Animal Complaint,High,In Progress,Ward 5,2025-04-28,,Mobile App,,,7,Pending,2025-04,2025,2,No
SR-2025-00128,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 1,2025-12-04,2025-12-08,Mobile App,4.0,4.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00129,Water Services,Water Leak,Medium,Closed,Ward 4,2025-02-16,2025-02-22,Phone,4.0,6.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00130,Parks and Recreation,Park Equipment Damage,High,In Progress,Ward 5,2025-07-07,,In Person,,,7,Pending,2025-07,2025,3,No
SR-2025-00131,Waste Management,Recycling Issue,Medium,Open,Ward 3,2025-09-04,,Mobile App,,,10,Pending,2025-09,2025,3,No
SR-2025-00132,Public Works,Snow Removal,Critical,Closed,Ward 5,2025-04-26,2025-04-29,Mobile App,5.0,3.0,3,Yes,2025-04,2025,2,Yes
SR-2025-00133,Public Works,Snow Removal,Low,Closed,Ward 3,2025-08-21,2025-08-29,In Person,5.0,8.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00134,Water Services,Sewer Backup,Low,Closed,Ward 5,2025-01-13,2025-01-25,Mobile App,5.0,12.0,14,Yes,2025-01,2025,1,Yes
SR-2025-00135,By-law Enforcement,Property Standards,Medium,Closed,Ward 1,2025-08-26,2025-09-01,Phone,4.0,6.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00136,Public Works,Pothole Repair,Medium,Closed,Ward 2,2025-02-19,2025-02-24,Email,5.0,5.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00137,Water Services,Sewer Backup,Medium,Open,Ward 4,2025-10-04,,In Person,,,10,Pending,2025-10,2025,4,No
SR-2025-00138,Transportation Services,Traffic Signal Issue,High,Closed,Ward 3,2025-09-08,2025-09-13,Web,4.0,5.0,7,Yes,2025-09,2025,3,Yes
SR-2025-00139,Transportation Services,Road Sign Damage,Low,Closed,Ward 3,2025-05-01,2025-05-09,In Person,2.0,8.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00140,Transportation Services,Road Sign Damage,Low,Closed,Ward 2,2025-03-04,2025-03-14,In Person,2.0,10.0,14,Yes,2025-03,2025,1,Yes
SR-2025-00141,Public Works,Pothole Repair,High,Closed,Ward 1,2025-03-06,2025-03-13,In Person,4.0,7.0,7,Yes,2025-03,2025,1,Yes
SR-2025-00142,Parks and Recreation,Park Equipment Damage,High,Closed,Ward 1,2025-03-17,2025-03-24,Mobile App,5.0,7.0,7,Yes,2025-03,2025,1,Yes
SR-2025-00143,Parks and Recreation,Park Equipment Damage,Medium,Open,Ward 1,2025-02-26,,Phone,,,10,Pending,2025-02,2025,1,No
SR-2025-00144,Public Works,Sidewalk Damage,High,Closed,Ward 1,2025-06-15,2025-06-16,Phone,3.0,1.0,7,Yes,2025-06,2025,2,Yes
SR-2025-00145,Transportation Services,Traffic Concern,Medium,Open,Ward 4,2025-09-01,,Mobile App,,,10,Pending,2025-09,2025,3,No
SR-2025-00146,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 5,2025-11-11,2025-11-13,Mobile App,5.0,2.0,10,Yes,2025-11,2025,4,Yes
SR-2025-00147,Water Services,Water Leak,Low,Closed,Ward 4,2025-07-25,2025-08-03,Email,5.0,9.0,14,Yes,2025-07,2025,3,Yes
SR-2025-00148,Public Works,Pothole Repair,Medium,Closed,Ward 5,2025-03-06,2025-03-12,In Person,4.0,6.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00149,Transportation Services,Road Sign Damage,Medium,Closed,Ward 4,2025-05-31,2025-06-09,Web,4.0,9.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00150,Transportation Services,Streetlight Repair,High,Closed,Ward 4,2025-10-10,2025-10-16,Email,5.0,6.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00151,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 3,2025-08-01,2025-08-04,Mobile App,4.0,3.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00152,Waste Management,Recycling Issue,Medium,Closed,Ward 1,2025-02-16,2025-02-19,Mobile App,2.0,3.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00153,Parks and Recreation,Tree Maintenance,Medium,Closed,Ward 4,2025-06-18,2025-06-21,Web,4.0,3.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00154,Waste Management,Illegal Dumping,Medium,Closed,Ward 2,2025-04-19,2025-04-23,Web,4.0,4.0,10,Yes,2025-04,2025,2,Yes
SR-2025-00155,Waste Management,Illegal Dumping,Low,Closed,Ward 5,2025-04-26,2025-05-11,In Person,4.0,15.0,14,No,2025-04,2025,2,Yes
SR-2025-00156,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 3,2025-12-22,2025-12-28,Mobile App,1.0,6.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00157,Waste Management,Illegal Dumping,Low,In Progress,Ward 4,2025-10-17,,Web,,,14,Pending,2025-10,2025,4,No
SR-2025-00158,Parks and Recreation,Tree Maintenance,Low,Closed,Ward 2,2025-07-12,2025-07-21,Mobile App,4.0,9.0,14,Yes,2025-07,2025,3,Yes
SR-2025-00159,Waste Management,Illegal Dumping,High,Closed,Ward 5,2025-02-13,2025-02-14,Web,3.0,1.0,7,Yes,2025-02,2025,1,Yes
SR-2025-00160,Transportation Services,Streetlight Repair,Medium,Closed,Ward 2,2025-09-06,2025-09-15,In Person,4.0,9.0,10,Yes,2025-09,2025,3,Yes
SR-2025-00161,Public Works,Sidewalk Damage,Medium,Closed,Ward 3,2025-12-14,2025-12-23,Web,4.0,9.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00162,Parks and Recreation,Trail Maintenance,Critical,Closed,Ward 2,2025-04-15,2025-04-17,Mobile App,5.0,2.0,3,Yes,2025-04,2025,2,Yes
SR-2025-00163,Waste Management,Illegal Dumping,Low,Closed,Ward 5,2025-08-09,2025-08-14,Phone,3.0,5.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00164,By-law Enforcement,Parking Complaint,Low,In Progress,Ward 4,2025-01-22,,Web,,,14,Pending,2025-01,2025,1,No
SR-2025-00165,Water Services,Water Leak,High,Closed,Ward 4,2025-10-21,2025-10-25,Mobile App,5.0,4.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00166,Public Works,Snow Removal,Low,Closed,Ward 3,2025-11-13,2025-11-23,Web,5.0,10.0,14,Yes,2025-11,2025,4,Yes
SR-2025-00167,Water Services,Water Leak,Low,Closed,Ward 3,2025-09-26,2025-09-30,Mobile App,4.0,4.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00168,Parks and Recreation,Grass Cutting,High,Closed,Ward 2,2025-11-21,2025-11-22,Mobile App,4.0,1.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00169,Waste Management,Recycling Issue,Low,Closed,Ward 1,2025-04-12,2025-04-17,Phone,4.0,5.0,14,Yes,2025-04,2025,2,Yes
SR-2025-00170,Transportation Services,Traffic Concern,Medium,Closed,Ward 5,2025-10-24,2025-11-02,In Person,5.0,9.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00171,Waste Management,Illegal Dumping,Low,Closed,Ward 3,2025-08-15,2025-08-28,In Person,4.0,13.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00172,Public Works,Sidewalk Damage,Medium,Closed,Ward 3,2025-08-20,2025-08-22,Web,2.0,2.0,10,Yes,2025-08,2025,3,Yes
